ID, Tissue Name, Assigned Tissue Name
0,ExternalAir,ExternalAir
1, accumbens, BrainGreyMatter 
2, adrenal_gland, Gland 
3, air, Air 
4, amygdala, BrainGreyMatter
5, artery, Blood 
6, bile, GallBladderBile 
7, bladder, Bladder 
8, blood, Blood 
9, brainstem, BrainWhiteMatter
10, bronchi, BloodVessel 
11, cancellous_bone, BoneCancellous 
12, cartilage, Cartilage 
13, caudate, BrainGreyMatter 
14, cavernous_body, Muscle 
15, cerebellar_gm, Cerebellum 
16, cerebellar_wm, BrainWhiteMatter 
17, cortical_bone, BoneCortical 
18, csf, CerebroSpinalFluid 
19, diaphragm, Muscle 
20, duodenum, Duodenum 
21, dura, Dura 
22, ear_cartilage, Cartilage 
23, epididymis, Gland 
24, esophagus, Oesophagus 
25, eye_anterior_chamber, Vitreous Humor 
26, eye_choroid, Blood 
27, eye_cornea, Cornea 
28, eye_humour, Vitreous Humor 
29, eye_iris, Muscle 
30, eye_lens, LensCortex 
31, eye_retina, EyeSclera
32, eye_sclera, EyeSclera
33, eye_suspensory_ligament, Muscle 
34, fat, Fat 
35, gall_bladder, GallBladder 
36, gingiva, Muscle 
37, gland, Gland 
38, gm, BrainGreyMatter 
39, heart, Heart 
40, heart_blood, Blood 
41, heart_conduction_system=heart, Heart 
42, heart_pericardium, Tendon 
43, hippocampus, BrainGreyMatter 
44, intervertebral_disk, Cartilage 
45, kidney, Kidney 
46, lacrimal_duct, Muscle 
47, lacrimal_gland, Gland 
48, large_intestine, Colon 
49, large_intestine_contents, GIcontents 
50, larynx, Cartilage 
51, ligament, Tendon 
52, liver, Liver 
53, lung, LungInflated 
54, meninges, Dura 
55, mesentery, Tendon 
56, muscle, Muscle 
57, muscle_expand, Muscle 
58, nerve, Nerve 
59, pallidum, BrainGreyMatter 
60, pancreas, Pancreas 
61, prostate, Prostate 
62, putamen, BrainGreyMatter 
63, salivary_gland, Gland 
64, skin, SkinWet 
65, small_intestine, SmallIntestine 
66, small_intestine_contents, GIcontents 
67, spinal_cord, SpinalCord 
68, spleen, Spleen 
69, stomach, Stomach 
70, stomach_contents, StomachContents 
71, teeth, Tooth 
72, tendon, Tendon 
73, testis, Testis 
74, thalamus, BrainGreyMatter 
75, thymus, Thymus 
76, thyroid_gland, Thyroid 
77, tongue, Tongue 
78, trachea, Trachea 
79, ureter, BloodVessel 
80, urethra, BloodVessel 
81, urine, BodyFluid 
82, vas_deferens, BloodVessel 
83, vein, Blood 
84, ventral_diencephalon, BrainWhiteMatter 
85, ventricular_csf, CerebroSpinalFluid 
86, wm, BrainWhiteMatter 
