ID,BRISKit Materials,Assigned Materials
0,ExternalAir,ExternalAir
2,InternalAir,Air
4,Colon,Colon
5,Cavity,Air
6,ColonInternal,GIcontents
8,Blood,Blood
9,Pons,Cerebellum
10,Medulla,SpinalCord
11,Midbrain,SpinalCord
12,BrainGreyMatter,BrainGreyMatter
15,Urethra,Bladder
16,Bladder,Bladder
20,Aorta,Aorta
24,Duodenum,Duodenum
25,DuodenumInternal,GIcontents
27,VentricleAtrium,Blood
28,BloodVessel,BloodVessel
32,BrainWhiteMatter,BrainWhiteMatter
36,Cervix,Cervix
40,BreastFat,BreastFat
44,GallBladder,GallBladder
48,BodyFluid,BodyFluid
52,Cerebellum,Cerebellum
56,Ovary,Ovary
60,Heart,Heart
61,HeartMuscle,Muscle
62,HeartDCT,Tendon
63,Pericardium,Muscle
64,GallBladderBile,GallBladderBile
68,BoneCancellous,BoneCancellous
72,Cornea,Cornea
76,Prostate,Prostate
80,CerebroSpinalFluid,CerebroSpinalFluid
84,BoneCortical,BoneCortical
88,Kidney,Kidney
92,BoneMarrow,BoneMarrow
96,EyeSclera,EyeSclera
99,DuctusDeferens,Muscle
100,Testis,Testis
104,LungDeflated,LungDeflated
108,Liver,Liver
109,LooseConnectiveTissue,Tendon
110,PeritonealCavity,BodyFluid
111,Meniscus,Cartilage
112,Cartilage,Cartilage
116,Lens,Lens
120,Uterus,Uterus
124,Dura,Dura
128,LungInflated,LungInflated
132,Nail,Nail
135,DarkFat,Fat
136,Fat,Fat
140,Retina,Retina
144,Esophagus,Oesophagus
148,Pancreas,Pancreas
152,Gland,Gland
156,Tongue,Tongue
160,Thymus,Thymus
164,SmallIntestine,SmallIntestine
165,SmallIntestineInternal,GIcontents
168,Lymph,Lymph
172,Tooth,Tooth
176,Thyroid,Thyroid
179,ErectileTissue,Muscle
180,Muscle,Muscle
181,Diaphragm,Muscle
184,SpinalCord,SpinalCord
188,Spleen,Spleen
192,Nerve,Nerve
196,VitreousHumor,Vitreous Humor
200,Stomach,Stomach
201,StomachInternal,StomachContents
204,SkinDry,SkinWet
208,MucousMembrane,MucousMembrane
212,SkinWet,SkinWet
213,Ligament,Tendon
214,Fascia,Tendon
215,ITBand,Tendon
216,Trachea,Trachea
217,Spectum,Tendon
218,DarkTendon,Tendon
219,DCT,Tendon
220,Tendon,Tendon
